title,rating
Breakfast at Tiffany's,7.6
"Breakfast, Lunch & Dinner",7.0
Breaking Bad,9.5
Brent Morin: I'm Brent Morin,6.5
Brené Brown: The Call to Courage,7.6
Brews Brothers,6.2
Brian Regan: Nunchucks and Flamethrowers,6.2
Bridegroom,8.0
Bright,6.3
Bright Night,5.1
"Bring It On, Ghost",7.6
British Men Behaving Badly,7.7
Broadchurch,8.4
Broken,6.8
Broken City,6.2
Brooklyn,7.5
Brooklyn Nine-Nine,8.1
Brooklyn's Finest,6.7
Brother,6.7
Brotherhood,8.3
Brotherly Love,6.6
Brown Nation,6.9
Budapest,5.4
Buddi,7.8
Buddy Thunderstruck,7.6
Bulbbul,6.6
Bullet Head,5.4
Bumping Mics with Jeff Ross & Dave Attell,7.7
Bungou Stray Dogs,7.6
Burn Out,6.2
Burning Daylight,5.3
Burning Sands,6.0
Burt's Buzz,6.6
Busted! I Know Who You Are!,7.5
Bygones Be Bygones,6.2
CAT. 8,5.1
CM101MMXI Fundamentals,9.2
CRISIS: Special Security Squad,7.1
CSI: Crime Scene Investigation,7.6
CT Fletcher: My Magnificent Obsession,7.6
Cabins in the Wild with Dick Strawbridge,6.7
Cable Girls,7.4
Cagaster of an Insect Cage,6.1
Cain and Abel,7.7
Calibre,6.8
Californication,8.3
Caliphate,7.9
Call Me Lucky,7.6
Calum Von Moger: Unbroken,6.2
Cam,5.9
Can You Hear Me,7.1
Candy Jar,5.8
Cannon Busters,6.8
Capital C,6.9
Captain America: Civil War,7.8
Captain Underpants: Epic Choice-o-rama,6.0
Captive,7.0
Car Masters: Rust to Riches,8.8
Cardboard Gangsters,6.4
Cardcaptor Sakura,8.0
Care Bears and Cousins,6.7
Cargo,6.3
Carlo & Malik,7.1
Carlos Ballarta: Furia ñera,7.2
Carmen Sandiego,8.1
Carmen Sandiego: To Steal or Not to Steal,6.9
Carole & Tuesday,7.9
Cars 3,6.7
Cash Only,6.1
Cast Party,6.1
Casting JonBenet,6.1
Castle & Castle,8.8
Castle Rock,7.6
Castle in the Sky,8.0
Castlevania,8.4
Catching Feelings,5.6
Catfight,5.8
Cathedral of the Sea,7.5
Cautious Hero: The Hero Is Overpowered but Overly Cautious,7.4
Cedonia Avenue,3.6
Cedric the Entertainer: Live from the Ville,5.9
Celeste & Jesse Forever,6.6
Cellmates,5.7
Cells at Work!,7.6
Cementerio General,3.9
Chaman Bahaar,7.0
Chambers,6.9
Champs,7.3
Chandni Bar,7.6
Channeru wa sono mama!,7.8
Chapo: el escape del siglo,3.2
Charité,7.7
Charité at War,8.1
Charlie's Colorforms City,7.8
Chasing Beauty,6.0
Chasing Cameron,6.2
Chasing Coral,8.1
Chatroom,5.5
Check Point,3.3
Cheer,8.2
Cheese in the Trap,7.4
Chef's Table,8.6
Chef's Table: BBQ,7.7
Chef's Table: France,8.3
Chek dou,5.5
Chelsea,6.1
Chelsea Does,7.8
Chelsea Peretti: One of the Greats,7.0
Chesapeake Shores,7.6
Chevolution,6.5
Chewing Gum,7.7
Chhota Bheem Kung Fu Dhamaka,6.4
Chiamatemi Francesco,6.2
Chicago Overcoat,6.0
Chicago Typewriter,8.2
Chico Bon Bon: Monkey with a Tool Belt,6.5
Chief Daddy,5.0
Chief Kim,7.5
Chief of Staff,8.2
Child 44,6.5
Child's Play,5.8
Chilling Adventures of Sabrina,8.2
Chingo Bling: They Can't Deport Us All,5.8
Chip and Potato,6.8
Chips,6.0
Chloe & Theo,5.8
Chocolate,7.6
Choked,5.8
Choose,4.7
Chopsticks,6.5
Chosen,5.5
Chris D'Elia: Incorrigible,6.5
Chris D'Elia: Man on Fire,6.6
Chris D'Elia: No Pain,5.9
Chris Rock: Tamborine,6.6
Chris Tucker Live,6.3
Christiane Amanpour: Sex & Love Around the World,7.4
Christina P: Mother Inferior,6.3
Christmas Inheritance,5.7
Christmas Wedding Planner,4.3
Christmas with a View,5.1
Chronicles of a Champion Golfer,7.7
